#{"t_start": 1649571600.107465, "env_id": "SimpleDriving-v0"}
r,l,t
45.322046,25,28.536355
-11.05682,31,28.55988
-7.0037,27,28.579148
-15.327771,29,28.599585
45.115963,30,28.620662
-17.623459,39,28.645745
-13.992479,37,28.670251
-14.212872,36,28.693971
-17.366968,33,28.716265
-16.780246,37,28.740212
-11.702425,38,28.764881
-14.447862,38,28.789954
-13.563079,33,28.813226
-8.255255,28,28.83372
-7.847012,29,28.854487
-9.481487,23,28.872913
44.447882,30,28.895683
-5.161909,24,28.913656
44.638281,33,28.935952
-9.374993,36,28.959826
-6.520135,31,28.980723
-13.334564,33,29.002978
-7.596757,24,29.020809
44.581939,30,29.04167
-12.438838,30,29.062195
-16.599251,33,29.084413
-13.076875,32,29.105924
-16.249999,35,29.13363
-14.973296,34,29.159752
43.969294,31,29.183761
-17.066977,29,29.206419
-14.694872,28,29.22889
-9.120452,29,29.249475
-11.131818,33,29.272093
-7.371367,28,29.291902
-18.6639,41,29.318691
44.503554,29,29.339369
44.327417,31,29.36081
-17.498231,37,29.387554
-8.940445,25,29.409495
-13.7233,33,29.435843
43.1777,31,29.459629
-16.45837,35,29.484177
45.80697,26,29.503904
-13.780697,29,29.525637
-18.188705,32,29.548508
45.11539,26,29.56857
-10.529505,31,29.590786
-9.682962,30,29.612549
45.518164,25,29.631603
-18.949034,39,30.252701
45.443278,26,30.271675
-9.594042,29,30.292183
-17.542005,34,30.314778
-17.225664,34,30.336982
-8.710077,33,30.359756
43.279835,32,30.383412
-15.718347,32,30.406312
45.865868,26,30.429686
-9.319618,26,30.453001
-17.645001,37,30.484534
-14.206551,37,30.50881
-13.139466,33,30.531027
-17.505415,35,30.554078
-7.555396,24,30.571328
-20.170154,47,30.599347
-16.728004,30,30.619356
-11.144727,31,30.640165
-7.03198,27,30.659079
41.295258,38,30.684851
-7.729391,22,30.704828
-19.900214,43,30.733254
-15.550514,34,30.75778
-15.653783,27,30.777566
-8.578376,31,30.799275
-11.640258,30,30.820437
-11.295768,30,30.841692
-5.05635,24,30.859785
-6.237708,27,30.879673
-11.924493,32,30.902263
-8.821306,26,30.921331
44.969504,27,30.940277
43.77206,30,30.961368
-6.745608,27,30.981081
-17.560721,32,31.004293
-17.336899,36,31.028351
-10.392462,30,31.05292
-18.226896,40,31.081317
45.615981,28,31.102336
-10.605388,31,31.125322
-9.289276,32,31.14911
-20.677703,31,31.175411
46.323909,23,31.194685
-14.698074,31,31.217977
44.314297,29,31.240817
-8.475671,25,31.259882
-14.521112,42,31.289883
-12.383599,27,31.310074
-8.749372,29,31.331866
-12.917769,38,31.360362
-7.560998,28,31.38737
-14.225949,29,31.411297
-12.698964,27,31.430834
-13.67501,29,31.452611
-12.642031,32,31.474858
-7.055129,25,31.494763
-8.830148,31,31.518428
44.177227,33,31.542788
-19.326175,39,31.571125
-9.052589,27,31.592745
-16.687733,34,31.618314
-8.622609,29,31.640734
-10.215206,24,31.660825
45.757447,24,31.679526
-19.661339,38,31.705798
47.095289,20,31.723361
-15.514902,40,31.758545
45.226224,25,32.466842
44.513576,25,32.485819
-12.253198,35,32.50956
-13.755773,35,32.53338
-22.232538,45,32.561592
-12.852938,37,32.584771
42.854399,30,32.604376
-18.354193,40,32.632315
-15.156586,39,32.65602
-17.324664,36,32.678303
44.783237,29,32.697164
-9.78873,29,32.71666
43.578869,34,32.738263
-8.822076,31,32.758526
-17.383561,50,32.788048
-9.643361,34,32.809966
-6.825179,28,32.829196
-11.027714,34,32.851399
44.984033,30,32.873398
-8.833866,30,32.895313
-7.386885,29,32.917026
-12.213673,28,32.937307
-7.104803,25,32.955758
-11.008162,30,32.977302
-13.88723,37,33.002212
42.363283,32,33.02728
-17.30611,36,33.053674
-12.305488,36,33.081332
-16.957802,38,33.108772
-14.411567,35,33.132354
-9.889868,32,33.154341
-15.329933,33,33.176597
-10.214336,37,33.20221
-7.569103,35,33.228773
-13.803149,40,33.257571
-9.310022,24,33.277957
-10.53184,32,33.301591
-16.58565,37,33.329967
-9.461138,36,33.354375
44.70339,27,33.374792
-7.440084,29,33.39629
-19.512622,39,33.422097
-17.703281,36,33.44596
-11.397191,26,33.464678
-18.007464,39,33.489336
42.063325,43,33.516275
-4.436849,22,33.533146
-9.007156,31,33.555668
-16.831423,35,33.579386
-10.159251,33,33.602587
-19.347712,45,33.630502
43.842229,35,33.653789
44.94837,25,33.672447
45.896844,26,33.691576
-10.170656,25,33.710224
44.724121,27,33.729805
43.478585,31,33.751377
-17.066418,44,33.778926
-14.226683,34,33.802409
-10.514498,34,33.825809
43.157038,31,33.847736
-14.420395,39,34.498833
-15.959548,45,34.526921
