#{"t_start": 1649571591.962805, "env_id": "SimpleDriving-v0"}
r,l,t
31.937068,48,40.955527
-18.796395,48,40.983204
36.522134,39,41.00683
39.24859,31,41.028519
32.074537,52,41.060299
-13.595841,33,41.08152
32.597545,57,41.115615
27.468575,70,41.165157
33.800032,46,41.819593
-27.077361,72,41.858895
-22.043576,62,41.893564
-19.656789,49,41.921712
39.653872,32,41.942759
38.229759,30,41.962776
36.0214,40,41.987959
37.120007,36,42.010984
30.628024,59,42.047538
32.003962,51,42.07938
-16.845327,45,42.109516
34.943891,44,42.138242
40.111576,29,42.157429
-19.475797,51,42.190212
-16.19823,39,42.214416
38.396162,29,42.233681
-18.348756,48,42.261911
39.593716,30,42.281309
38.567926,32,42.301921
-23.219777,57,42.333869
37.110563,38,42.356881
-23.918228,63,42.397561
39.774005,29,42.417898
35.096438,39,42.445008
-20.865676,51,42.477166
34.574663,42,42.502169
31.61066,51,42.531986
-14.988086,35,42.554146
-21.841193,53,42.584596
34.946003,43,42.610659
-23.055305,62,42.645107
